plate_group_id,y_number,assay,tier_id,assay_value,median_background_signal
3768,Y22322,FUVMO_sucrose,14,2.1557,0.3283
3768,Y22322,FUVMO_sucrose,14,2.2297,0.3283
3768,Y22322,FUVMO_sucrose,14,2.0829,0.3283
3847,Y22322,FUVMO_sucrose,14,2.0635,0.3283
3847,Y22322,FUVMO_sucrose,14,2.1076,0.3283
3847,Y22322,FUVMO_sucrose,14,2.1147,0.3283
3847,Y22322,FUVMO_sucrose,14,2.2012,0.3283
NULL,Y22322,FUVMO_sucrose,14,2.6166,0.3283
NULL,Y22322,FUVMO_sucrose,14,2.6462,0.3283
NULL,Y22322,FUVMO_sucrose,14,2.4825,0.3283
3940,Y22322,FUVMO_sucrose,14,1.7989,0.3283
3940,Y22322,FUVMO_sucrose,14,1.8032,0.3283
3940,Y22322,FUVMO_sucrose,14,1.8055,0.3283
3940,Y22322,FUVMO_sucrose,14,1.904,0.3283
4034,Y22322,FUVMO_sucrose,14,1.6806,0.3283
4034,Y22322,FUVMO_sucrose,14,1.6011,0.3283
4034,Y22322,FUVMO_sucrose,14,1.6186,0.3283
4034,Y22322,FUVMO_sucrose,14,1.7457,0.3283
4034,Y22322,FUVMO_sucrose,14,1.5744,0.3283
4034,Y22322,FUVMO_sucrose,14,1.7627,0.3283
4034,Y22322,FUVMO_sucrose,14,1.7028,0.3283
4034,Y22322,FUVMO_sucrose,14,1.5999,0.3283
4290,Y22322,FUVMO_sucrose,14,2.3472,0.3087
4290,Y22322,FUVMO_sucrose,14,2.41952,0.3087
4290,Y22322,FUVMO_sucrose,14,2.46192,0.3087
4290,Y22322,FUVMO_sucrose,14,2.26112,0.3087
4290,Y22322,FUVMO_sucrose,14,2.05344,0.3087
4290,Y22322,FUVMO_sucrose,14,2.3288,0.3087
4290,Y22322,FUVMO_sucrose,14,2.3976,0.3087
4290,Y22322,FUVMO_sucrose,14,2.2664,0.3087
4293,Y22322,FUVMO_sucrose,14,2.39456,0.3087
4293,Y22322,FUVMO_sucrose,14,2.37792,0.3087
4293,Y22322,FUVMO_sucrose,14,2.64576,0.3087
4293,Y22322,FUVMO_sucrose,14,2.18848,0.3087
4293,Y22322,FUVMO_sucrose,14,2.4768,0.3087
4293,Y22322,FUVMO_sucrose,14,2.56576,0.3087
4293,Y22322,FUVMO_sucrose,14,2.188,0.3087
4293,Y22322,FUVMO_sucrose,14,2.31392,0.3087
4293,Y22322,FUVMO_sucrose,14,2.32848,0.3087
4416,Y22322,FUVMO_sucrose,14,1.99456,0.3087
4416,Y22322,FUVMO_sucrose,14,1.9848,0.3087
4416,Y22322,FUVMO_sucrose,14,2.02608,0.3087
4416,Y22322,FUVMO_sucrose,14,2.00032,0.3087
4416,Y22322,FUVMO_sucrose,14,2.13808,0.3087
4416,Y22322,FUVMO_sucrose,14,1.9288,0.3087
4416,Y22322,FUVMO_sucrose,14,2.05344,0.3087
4416,Y22322,FUVMO_sucrose,14,2.17024,0.3087
4416,Y22322,FUVMO_sucrose,14,1.91856,0.3087
4416,Y22322,FUVMO_sucrose,14,2.15664,0.3087
4416,Y22322,FUVMO_sucrose,14,2.06272,0.3087
4416,Y22322,FUVMO_sucrose,14,2.1336,0.3087
4416,Y22322,FUVMO_sucrose,14,1.90768,0.3087
4034,Y22322,FUVMO_sucrose,14,1.6009,0.3283
4034,Y22322,FUVMO_sucrose,14,1.6154,0.3283
4034,Y22322,FUVMO_sucrose,14,1.6993,0.3283
4034,Y22322,FUVMO_sucrose,14,1.6501,0.3283
3847,Y22322,FUVMO_sucrose,14,2.0741,0.3283
3847,Y22322,FUVMO_sucrose,14,2.0544,0.3283
3847,Y22322,FUVMO_sucrose,14,1.9623,0.3283
4034,Y22322,FUVMO_sucrose,14,1.6834,0.3283
4034,Y22322,FUVMO_sucrose,14,1.7171,0.3283
4034,Y22322,FUVMO_sucrose,14,1.7956,0.3283
4034,Y22322,FUVMO_sucrose,14,1.8235,0.3283
4416,Y22322,FUVMO_sucrose,14,2.10352,0.3087
4416,Y22322,FUVMO_sucrose,14,1.988,0.3087
4416,Y22322,FUVMO_sucrose,14,1.96128,0.3087
4416,Y22322,FUVMO_sucrose,14,1.97248,0.3087
4416,Y22322,FUVMO_sucrose,14,2.06944,0.3087
4416,Y22322,FUVMO_sucrose,14,2.00688,0.3087
4416,Y22322,FUVMO_sucrose,14,2.04352,0.3087
4550,Y22322,FUVMO_sucrose,14,1.99808,0.3087
4550,Y22322,FUVMO_sucrose,14,1.95472,0.3087
4550,Y22322,FUVMO_sucrose,14,1.9024,0.3087
4588,Y22322,FUVMO_sucrose,14,1.94592,0.3087
4585,Y22322,FUVMO_sucrose,14,1.81504,0.3087
3870,Y22322,FUVMO_sucrose,14,1.9973,0.3283
3870,Y22322,FUVMO_sucrose,14,1.8678,0.3283
3870,Y22322,FUVMO_sucrose,14,1.7537,0.3283
3870,Y22322,FUVMO_sucrose,14,1.6565,0.3283
3870,Y22322,FUVMO_sucrose,14,1.8621,0.3283
3870,Y22322,FUVMO_sucrose,14,1.9191,0.3283
3870,Y22322,FUVMO_sucrose,14,1.8655,0.3283
3870,Y22322,FUVMO_sucrose,14,1.6872,0.3283
3870,Y22322,FUVMO_sucrose,14,1.7871,0.3283
3870,Y22322,FUVMO_sucrose,14,1.595,0.3283
3870,Y22322,FUVMO_sucrose,14,1.7474,0.3283
3870,Y22322,FUVMO_sucrose,14,1.6946,0.3283
3870,Y22322,FUVMO_sucrose,14,1.8705,0.3283
3870,Y22322,FUVMO_sucrose,14,2.0409,0.3283
3870,Y22322,FUVMO_sucrose,14,1.9758,0.3283
NULL,Y22322,FUVMO_sucrose,14,0.1654,0.3283
4132,Y22322,FUVMO_sucrose,14,2.299733333,0.345
4132,Y22322,FUVMO_sucrose,14,2.620533333,0.345
4132,Y22322,FUVMO_sucrose,14,2.4484,0.345
4132,Y22322,FUVMO_sucrose,14,2.2796,0.345
4132,Y22322,FUVMO_sucrose,14,2.601866667,0.345
4132,Y22322,FUVMO_sucrose,14,2.250533333,0.345
4132,Y22322,FUVMO_sucrose,14,2.807066667,0.345
4132,Y22322,FUVMO_sucrose,14,2.696533333,0.345
4132,Y22322,FUVMO_sucrose,14,2.210666667,0.345
4132,Y22322,FUVMO_sucrose,14,2.221333333,0.345
4396,Y22322,FUVMO_sucrose,14,2.00816,0.3087
4396,Y22322,FUVMO_sucrose,14,2.02848,0.3087
4396,Y22322,FUVMO_sucrose,14,2.00544,0.3087
4396,Y22322,FUVMO_sucrose,14,1.96368,0.3087
4396,Y22322,FUVMO_sucrose,14,2.13232,0.3087
4396,Y22322,FUVMO_sucrose,14,2.0688,0.3087
4396,Y22322,FUVMO_sucrose,14,2.00992,0.3087
4396,Y22322,FUVMO_sucrose,14,2.076,0.3087
4396,Y22322,FUVMO_sucrose,14,1.50656,0.3087
4396,Y22322,FUVMO_sucrose,14,2.00672,0.3087
4396,Y22322,FUVMO_sucrose,14,2.05536,0.3087
4396,Y22322,FUVMO_sucrose,14,2.0912,0.3087
4396,Y22322,FUVMO_sucrose,14,2.00336,0.3087
4396,Y22322,FUVMO_sucrose,14,2.00624,0.3087
4396,Y22322,FUVMO_sucrose,14,2.07952,0.3087
4396,Y22322,FUVMO_sucrose,14,1.93984,0.3087
4396,Y22322,FUVMO_sucrose,14,1.90784,0.3087
4396,Y22322,FUVMO_sucrose,14,2.05312,0.3087
4399,Y22322,FUVMO_sucrose,14,2.06752,0.3087
4399,Y22322,FUVMO_sucrose,14,2.11392,0.3087
4399,Y22322,FUVMO_sucrose,14,2.11984,0.3087
4543,Y22322,FUVMO_sucrose,14,1.884,0.3087
4132,Y22322,FUVMO_sucrose,14,2.055733333,0.345
4132,Y22322,FUVMO_sucrose,14,2.4116,0.345
4543,Y22322,FUVMO_sucrose,14,1.86784,0.3087
4132,Y22322,FUVMO_sucrose,14,1.800933333,0.345
3870,Y22322,FUVMO_sucrose,14,1.9325,0.3283
4132,Y22322,FUVMO_sucrose,14,2.304266667,0.345
4547,Y22322,FUVMO_sucrose,14,2.11408,0.3087
4547,Y22322,FUVMO_sucrose,14,2.08208,0.3087
4547,Y22322,FUVMO_sucrose,14,2.1712,0.3087
4547,Y22322,FUVMO_sucrose,14,1.83648,0.3087
4547,Y22322,FUVMO_sucrose,14,2.18816,0.3087
4547,Y22322,FUVMO_sucrose,14,2.0232,0.3087
NULL,Y22322,FUVMO_sucrose,14,2.4487,0.3283
NULL,Y22322,FUVMO_sucrose,14,2.6347,0.3283
NULL,Y22322,FUVMO_sucrose,14,2.6143,0.3283
3981,Y22322,FUVMO_sucrose,14,2.0941,0.3283
3981,Y22322,FUVMO_sucrose,14,1.9153,0.3283
4076,Y22322,FUVMO_sucrose,14,1.6917,0.3283
4076,Y22322,FUVMO_sucrose,14,1.7834,0.3283
4076,Y22322,FUVMO_sucrose,14,1.7733,0.3283
4076,Y22322,FUVMO_sucrose,14,1.6585,0.3283
4076,Y22322,FUVMO_sucrose,14,1.7267,0.3283
4150,Y22322,FUVMO_sucrose,14,2.1968,0.345
4150,Y22322,FUVMO_sucrose,14,1.9784,0.345
4150,Y22322,FUVMO_sucrose,14,2.034533333,0.345
4150,Y22322,FUVMO_sucrose,14,1.896133333,0.345
4150,Y22322,FUVMO_sucrose,14,1.921066667,0.345
4150,Y22322,FUVMO_sucrose,14,2.261333333,0.345
4150,Y22322,FUVMO_sucrose,14,2.2972,0.345
4150,Y22322,FUVMO_sucrose,14,2.22,0.345
4150,Y22322,FUVMO_sucrose,14,2.076266667,0.345
4150,Y22322,FUVMO_sucrose,14,2.0104,0.345
4150,Y22322,FUVMO_sucrose,14,2.152133333,0.345
4150,Y22322,FUVMO_sucrose,14,2.489066667,0.345
4150,Y22322,FUVMO_sucrose,14,1.9684,0.345
4150,Y22322,FUVMO_sucrose,14,2.406933333,0.345
4151,Y22322,FUVMO_sucrose,14,1.815066667,0.345
4151,Y22322,FUVMO_sucrose,14,1.429066667,0.345
4151,Y22322,FUVMO_sucrose,14,1.328933333,0.345
4151,Y22322,FUVMO_sucrose,14,2.033066667,0.345
4150,Y22322,FUVMO_sucrose,14,2.362133333,0.345
4151,Y22322,FUVMO_sucrose,14,1.7544,0.345
4151,Y22322,FUVMO_sucrose,14,0.200266667,0.345
4151,Y22322,FUVMO_sucrose,14,2.081066667,0.345
4151,Y22322,FUVMO_sucrose,14,1.6876,0.345
